Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-05-03 00:00:00-04:00,107.1001823459874,107.34309808425036,106.06552700179606,106.13750457763672,21256700,0.0,0.0,0.0
2022-05-04 00:00:00-04:00,106.13749194662611,107.03719094508641,105.57967609648364,106.72229766845703,25575700,0.0,0.0,0.0
2022-05-05 00:00:00-04:00,104.67997231346196,104.78793865943953,102.58367209546608,103.79827117919922,48384500,0.0,0.0,0.0
2022-05-06 00:00:00-04:00,102.69163553619254,103.50136594772043,101.94488377533024,102.2687759399414,32790500,0.0,0.0,0.0
2022-05-09 00:00:00-04:00,101.54002696957932,103.20446870216874,101.32410113732689,103.1684799194336,26773000,0.0,0.0,0.0
2022-05-10 00:00:00-04:00,104.26612549076046,105.22880322864285,103.89725243853074,104.10417938232422,33640800,0.0,0.0,0.0
2022-05-11 00:00:00-04:00,103.23148544768078,106.11052703857422,102.96157980313967,106.11052703857422,34173600,0.0,0.0,0.0
2022-05-12 00:00:00-04:00,106.18248036840326,106.96522102411426,105.85859502083086,105.9125747680664,26405700,0.0,0.0,0.0
2022-05-13 00:00:00-04:00,105.2468137485613,105.3997609627103,104.27513698074404,104.34711456298828,20782700,0.0,0.0,0.0
2022-05-16 00:00:00-04:00,104.55402139426194,105.21080469346184,104.23012920070565,104.23912811279297,11050600,0.0,0.0,0.0
2022-05-17 00:00:00-04:00,103.20447798686723,103.78028483411462,102.88958468980367,102.97955322265625,15040800,0.0,0.0,0.0
2022-05-18 00:00:00-04:00,103.21348323676976,105.26479611406029,103.11451578530755,105.1748275756836,21337300,0.0,0.0,0.0
2022-05-19 00:00:00-04:00,106.7402792643476,106.81225682530822,105.12981737468328,105.42671966552734,21937500,0.0,0.0,0.0
2022-05-20 00:00:00-04:00,105.34575138080722,107.08217070502694,105.31876150938885,106.62332916259766,22780900,0.0,0.0,0.0
2022-05-23 00:00:00-04:00,105.90356695119351,106.38940522794192,104.85092078365125,104.86891174316406,15925200,0.0,0.0,0.0
